id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
1732,894b0b06-cd36-4c5c-851e-151cc8c18858,"February 21, 2009 14:09",2009-02-21,2009-02-21 22:09:00 UTC,Pacific Time (US & Canada),1,kueda,Ken-ichi Ueda,2009-02-23 07:13:32 UTC,2025-05-01 04:15:27 UTC,research,CC0,http://www.inaturalist.org/observations/1732,https://inaturalist-open-data.s3.amazonaws.com/photos/1969/medium.jpg,,"","I am failry sure this is a male CA Red-legged Frog (<i>Rana draytonii</i>) in aplexus with a female bullfrog (<i>Rana catesbeiana</i>).  Maybe not quite as cool as <a href=""http://flickr.com/photos/ap2il/3298011299/"">cross-order confusion</a>, but still odd.  I wonder if there are conservation implications for the red-legged, which is threatened by habitat destruction in some parts of the state.  Would there be any noticeable impact of males wasting their time on females of another species?",1,0,false,,"California, US",37.8856746045,-122.1401022207,,,,,28314,,obscured,true,,,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
7525,d7aa913e-74b5-4ea6-b303-0382e6ad7e63,"June 04, 2010 21:41",2010-06-04,2010-06-05 04:41:00 UTC,Pacific Time (US & Canada),1,kueda,Ken-ichi Ueda,2010-06-13 02:35:34 UTC,2024-07-04 21:14:24 UTC,research,CC0,http://www.inaturalist.org/observations/7525,https://inaturalist-open-data.s3.amazonaws.com/photos/16258/medium.jpg,,"","California Red-legged Frog (<i>Rana draytonii</i>), yet another species threatened by habitat destruction.  You can actually see some of the characterstic red in the full shot below.  I spent a little time trying to catch chorus frogs calling, but the only one I actually laid eyes on was so deeply buried in the reeds I couldn't get a clear shot.

Location has been set to the center of the park as this is a threatened species (for what it's worth).",1,0,false,,"California, US",37.8105257708,-122.1624567486,,,,,28314,,obscured,true,,,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
12729,14de7a64-886b-42b0-9e3a-34e8b933a0da,2010-06-05,2010-06-05,,Pacific Time (US & Canada),873,tapbirds,Scott Cox,2011-03-12 05:59:45 UTC,2025-01-07 14:01:15 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/12729,https://inaturalist-open-data.s3.amazonaws.com/photos/25032/medium.jpg,,"","",1,0,false,,"California, US",37.7138616727,-122.4842060462,,,,,10000,,obscured,true,,,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
22338,2bf41812-b3b2-4458-95dd-ef4563982b70,"June 20, 2011 10:50",2011-06-20,2011-06-20 17:50:00 UTC,Pacific Time (US & Canada),873,tapbirds,Scott Cox,2011-06-20 19:42:52 UTC,2025-01-07 14:01:15 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/22338,https://inaturalist-open-data.s3.amazonaws.com/photos/39995/medium.jpg,,"","California Red-legged Frog (Rana draytonii), Sharp Park, Pacifica CA",2,0,false,,"California, US",37.6606978151,-122.4958958688,,,,,10000,,obscured,true,,,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
24640,1d71f504-5b37-4ae9-ab52-59dbbe04e0d6,2011-07-10,2011-07-10,,Pacific Time (US & Canada),1674,mattjames425,Matthew James,2011-07-12 17:17:48 UTC,2025-03-02 04:44:52 UTC,research,,http://www.inaturalist.org/observations/24640,https://static.inaturalist.org/photos/44647/medium.JPG,,juvenile california red legged frog rana draytonii mori point wetlands marsh pond,The wetlands at Mori point have many red-legged frogs. This photo is of a juvenile,1,0,false,,"California, US",37.6952207374,-122.5715163818,1607,,,,28359,,obscured,true,gps,gps,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
29108,e0c4582c-2159-4805-bb91-f884482986e9,2011-07-10,2011-07-10,,Pacific Time (US & Canada),1674,mattjames425,Matthew James,2011-08-26 23:14:12 UTC,2024-07-04 21:13:00 UTC,research,,http://www.inaturalist.org/observations/29108,https://static.inaturalist.org/photos/51248/medium.JPG,,california red legged frog rana draytonii mori point pacifica ca wetlands marsh pond,A threatened frog species in a coastal wetlands habitat. This one is sticking its head out of the water.,1,0,false,,"California, US",37.7069995736,-122.4719403152,,,,,10000,,obscured,true,,,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
29522,07642810-4d11-4edf-8dff-6e6bdd3f5a53,2011-08-28,2011-08-28,,Pacific Time (US & Canada),642,biosam,Sam McNally,2011-08-29 18:44:08 UTC,2024-07-04 21:12:52 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/29522,https://static.inaturalist.org/photos/51766/medium.jpg,,"",a trio of Red-legged Frogs. Note the variation in color.,1,0,false,,"California, US",37.7502510472,-122.4848652132,,,,,28344,,obscured,true,,,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
29523,8bf0235b-7bcb-4261-86dd-d7dcceff1db9,2011-08-28,2011-08-28,,Pacific Time (US & Canada),642,biosam,Sam McNally,2011-08-29 18:44:42 UTC,2024-07-04 21:12:45 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/29523,https://static.inaturalist.org/photos/51765/medium.jpg,,"","",1,0,false,,"California, US",37.7687758568,-122.5017958189,,,,,28359,,obscured,true,,,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
30888,03ff352a-2cae-49a6-980a-3869ef8f34bd,2011-06-09,2011-06-09,,Central Time (US & Canada),2887,devinedmonds,"",2011-09-12 19:09:59 UTC,2024-07-04 21:12:27 UTC,research,,http://www.inaturalist.org/observations/30888,https://static.inaturalist.org/photos/53552/medium.JPG,,"Rana draytonii, red-legged frog",Red-legged frog near stream at Pinnacles National Monument,1,0,false,,"San Benito County, US-CA, US",36.4128732366,-121.1488225764,,,,,10000,,obscured,true,,,Rana draytonii,Rana draytonii,California Red-legged Frog,Amphibia,67016
31032,98d50d67-104e-48c6-bb6c-c5765d6bf271,2011-05-27,2011-05-27,,Pacific Time (US & Canada),2873,jmaughn,James Maughn,2011-09-14 00:24:48 UTC,2023-05-12 22:14:56 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/31032,https://inaturalist-open-data.s3.amazonaws.com/photos/53766/medium.JPG,,"","",1,0,false,,,,,,,,,28476,private,obscured,true,,,California Red-legged Frog,Rana draytonii,California Red-legged Frog,Amphibia,67016
